"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:23.4670", "66.9850", "49.6210", "26.8610",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.9860", "42.9270", "49.7470", "26.3120",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.1920", "43.0110", "49.0130", "26.1680",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.1310", "42.9040", "48.8290", "26.3980",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.1470", "42.7860", "49.1390", "26.2220",  "F:S - R:S",     "0 ",  
Average,,,"02:03.3846", "47.7226", "49.2698", "26.3922"
Best possible,,, "01:57.7830", "42.7860", "48.8290", "26.1680"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Gino Ivan Muchiut"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:14.6320", "53.6140", "51.3760", "29.6420",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.3410", "43.3320", "49.3380", "26.6710",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.3510", "42.8180", "48.8800", "26.6530",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.4090", "42.6480", "48.9420", "26.8190",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.8350", "46.7040", "48.8420", "26.2890",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
Average,,,"02:02.5136", "45.8232", "49.4756", "27.2148"
Best possible,,, "01:57.7790", "42.6480", "48.8420", "26.2890"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"PANGOLIN DORMIDO"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:22.2430", "57.5170", "54.0090", "30.7170",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:03.2290", "43.8580", "52.6770", "26.6940",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.9580", "43.3450", "49.2930", "26.3200",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.5240", "43.2250", "48.7220", "26.5770",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.8810", "43.1900", "49.2260", "26.4650",  "F:M - R:M",     "0 ",  
Average,,,"02:04.3670", "46.2270", "50.7854", "27.3546"
Best possible,,, "01:58.2320", "43.1900", "48.7220", "26.3200"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ezequiel Cherminando"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:49.8270", "88.7090", "50.2470", "30.8710",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:00.7350", "43.8470", "50.4000", "26.4880",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.8160", "43.3610", "50.0680", "26.3870",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.4100", "43.3740", "49.3820", "26.6540",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.6570", "42.9710", "49.2580", "26.4280",  "F:M - R:M",     "0 ",  
Average,,,"02:09.6890", "52.4524", "49.8710", "27.3656"
Best possible,,, "01:58.6160", "42.9710", "49.2580", "26.3870"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Rafa Alvarez"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:09.7140", "51.9170", "50.3870", "27.4100",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.0870", "43.6760", "49.1040", "26.3070",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "03:27.2990", "130.6690", "49.2300", "27.4000",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.9060", "43.3780", "48.9960", "26.5320",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.2100", "43.1780", "49.4650", "26.5670",  "F:M - R:M",     "0 ",  
Average,,,"02:18.8432", "62.5636", "49.4364", "26.8432"
Best possible,,, "01:58.4810", "43.1780", "48.9960", "26.3070"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Luciano DR."
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:28.4920", "71.7440", "49.7210", "27.0270",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.4220", "43.2370", "49.0320", "27.1530",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.3010", "42.9760", "49.3870", "26.9380",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.5930", "43.1640", "49.2020", "26.2270",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"02:06.4521", "50.2803", "49.3355", "26.8363"
Best possible,,, "01:58.2350", "42.9760", "49.0320", "26.2270"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Akira"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:49.8570", "87.0480", "55.7230", "27.0860",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:03.0840", "45.8360", "50.0220", "27.2260",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.8790", "43.1900", "49.9770", "26.7120",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:00.2780", "43.8780", "49.6620", "26.7380",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.3330", "43.3550", "49.5090", "26.4690",  "F:M - R:M",     "0 ",  
Average,,,"02:10.4862", "52.6614", "50.9786", "26.8462"
Best possible,,, "01:59.1680", "43.1900", "49.5090", "26.4690"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ramiro"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:31.7530", "65.2180", "52.5020", "34.0330",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:00.2820", "43.9340", "49.5730", "26.7750",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.7810", "43.6320", "49.3100", "26.8390",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.9870", "43.5910", "49.4240", "26.9720",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:59.5850", "43.4990", "49.4830", "26.6030",  "F:S - R:S",     "0 ",  
Average,,,"02:06.2776", "47.9748", "50.0584", "28.2444"
Best possible,,, "01:59.4120", "43.4990", "49.3100", "26.6030"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josu Puelles"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:06.3390", "49.2850", "50.0580", "26.9960",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "03:21.3070", "124.0870", "49.8690", "27.3510",  "F:S - R:S",     "2  (0s e.t. <>  0s gain) ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.3840", "43.7540", "49.8870", "27.7430",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:00.2900", "43.7910", "49.8240", "26.6750",  "F:S - R:S",     "0 ",  
Average,,,"02:22.3301", "65.2293", "49.9095", "27.1913"
Best possible,,, "02:00.2530", "43.7540", "49.8240", "26.6750"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"enzo diaz cancho"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Sergio Diaz"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Kyogren2911"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Manolo Laguarda"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Martínez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Carlos Ortega"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan José Ruiz García (Mecajota)"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Montoro"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Izaguirre"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Gomez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"LOA TV"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:57.3310", ""
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:57.3880", "0.057"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:57.4490", "0.118"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:57.5170", "0.186"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:57.6300", "0.299"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:57.7210", "0.39"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:57.7710", "0.44"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:57.7830", "0.452"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:57.8610", "0.53"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:58.1310", "0.8"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:58.1470", "0.816"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:58.1920", "0.861"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "01:58.3510", "1.02"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "01:58.4090", "1.078"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "01:58.5240", "1.193"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "01:58.5930", "1.262"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "01:58.6570", "1.326"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:58.6780", "1.347"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "01:58.8810", "1.55"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:58.9060", "1.575"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:57.3310", ""
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:57.3880", "0.057"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:57.6300", "0.299"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:58.1310", "0.8"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "01:58.3510", "1.02"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "01:58.5240", "1.193"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "01:58.6570", "1.326"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:58.9060", "1.575"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "01:59.3010", "1.97"
"Akira", "chawaii_subaru_wrx_sti_gr3", "01:59.3330", "2.002"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "01:59.5850", "2.254"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "02:00.2900", "2.959"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "99.80%  0.2425",
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "99.76%  0.279",
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "99.74%  0.3107",
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "99.67%  0.3955",
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "99.64%  0.4317",
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "99.61%  0.4567",
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "99.56%  0.524",
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "99.41%  0.6943",
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "98.88%  1.33",
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "-",
"Akira", "chawaii_subaru_wrx_sti_gr3", "-",
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "-",
"enzo diaz cancho", "chawaii_subaru_wrx_sti_gr3", "-",
"Sergio Diaz", "chawaii_subaru_wrx_sti_gr3", "-",
"Kyogren2911", "chawaii_subaru_wrx_sti_gr3", "-",
"Manolo Laguarda", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Martínez", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan José Ruiz García (Mecajota)", "chawaii_subaru_wrx_sti_gr3", "-",
"Montoro", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan Izaguirre", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Gomez", "chawaii_subaru_wrx_sti_gr3", "-",
"LOA TV", "chawaii_subaru_wrx_sti_gr3", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "42.5010", "-"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "42.6140", "0.1130"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "42.6480", "0.1470"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "42.7860", "0.2850"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "42.7920", "0.2910"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "42.9710", "0.4700"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "42.9760", "0.4750"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "43.1780", "0.6770"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "43.1900", "0.6890"
"Akira", "chawaii_subaru_wrx_sti_gr3", "43.1900", "0.6890"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "43.4990", "0.9980"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "43.7540", "1.2530"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "48.3890", "-"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "48.6010", "0.2120"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "48.6320", "0.2430"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "48.7220", "0.3330"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "48.8290", "0.4400"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "48.8420", "0.4530"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "48.9960", "0.6070"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "49.0320", "0.6430"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "49.2580", "0.8690"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "49.3100", "0.9210"
"Akira", "chawaii_subaru_wrx_sti_gr3", "49.5090", "1.1200"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "49.8240", "1.4350"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "25.9380", "-"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "26.1490", "0.2110"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "26.1680", "0.2300"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "26.2260", "0.2880"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "26.2270", "0.2890"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "26.2890", "0.3510"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "26.3070", "0.3690"
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "26.3200", "0.3820"
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "26.3870", "0.4490"
"Akira", "chawaii_subaru_wrx_sti_gr3", "26.4690", "0.5310"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "26.6030", "0.6650"
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "26.6750", "0.7370"


Qualify incidents
'======================
Date, Incident, Worth reviewing
"", "Rafa Alvarez reported contact with environment. Impact speed: 47.06057",

Qualify cuts
'======================
Date, Lap e.t., Lap, Driver, Cut Time, Time skipped
"", "00:00", "5", "Gino Ivan Muchiut", "", ""
"", "00:00", "5", "Gino Ivan Muchiut", "", ""
"", "00:00", "2", "PANGOLIN DORMIDO", "", ""
"", "00:00", "1", "Ezequiel Cherminando", "", ""
"", "00:00", "4", "Luciano DR.", "", ""
"", "00:00", "1", "Akira", "", ""
"", "00:00", "2", "Akira", "", ""
"", "00:00", "4", "Akira", "", ""
"", "00:00", "2", "Josu Puelles", "", ""
"", "00:00", "2", "Josu Puelles", "", ""






'+++++++++++++++++++++
Race
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "rt_suzuka, suzukagp"
Winner, "bertillo30"
Led most laps, "bertillo30"
Best lap, "Ezequiel Cherminando (01:57.1540)"
Lasted laps, "21"
Host, "Unknown"


Race result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "21", "    41:26.1560", "01:57.7400", "99.54%", "21", "0", 
"2",  "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "21", "  '+00:00.1340", "01:57.1540", "99.18%", "0", "0", 
"3",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "21", "  '+00:00.6170", "01:57.5500", "99.36%", "0", "0", 
"4",  "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "21", "  '+00:08.4030", "01:57.9830", "99.42%", "0", "0", 
"5",  "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "21", "  '+00:35.7540", "01:59.0000", "99.26%", "0", "0", 
"6",  "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "21", "  '+00:37.2360", "01:58.7280", "99.00%", "0", "0", 
"7",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "21", "  '+00:45.9650", "01:59.0680", "98.91%", "0", "0", 
"8",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "21", "  '+00:47.7870", "01:59.0750", "98.87%", "0", "0", 
"9",  "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "21", "  '+00:51.0110", "01:58.9640", "98.48%", "0", "0", 
"10",  "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "21", "  '+01:46.9950", "02:01.1410", "98.27%", "0", "0", 
"11",  "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "20", "  '+00:10.3240", "01:57.6200", "98.93%", "0", "0", 
"12",  "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "13", "  '+00:41.8420", "01:59.7800", "98.63%", "0", "0", 
