'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "rt_suzuka, suzukagp"
Pole, "Jose Miguel Romay(01:57.3310)"
Lasted laps, "5"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "4", "01:57.3310", "-",
"2",   "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "5", "01:57.3880", "00:00.0570",
"3",   "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "5", "01:57.6300", "00:00.2990",
"4",   "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "5", "01:58.1310", "00:00.8000",
"5",   "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "5", "01:58.3510", "00:01.0200",
"6",   "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "5", "01:58.5240", "00:01.1930",
"7",   "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "5", "01:58.6570", "00:01.3260",
"8",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "5", "01:58.9060", "00:01.5750",
"9",   "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "4", "01:59.3010", "00:01.9700",
"10",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "5", "01:59.3330", "00:02.0020",
"11",   "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "5", "01:59.5850", "00:02.2540",
"12",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "4", "02:00.2900", "00:02.9590",
"13",   "", "los difentes racing tream", "chawaii_subaru_wrx_sti_gr3", "enzo diaz cancho", "0", "-", "-",
"14",   "", "LDRT", "chawaii_subaru_wrx_sti_gr3", "Sergio Diaz", "0", "-", "-",
"15",   "", "AuTornay Racing Team", "chawaii_subaru_wrx_sti_gr3", "Kyogren2911", "0", "-", "-",
"16",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Manolo Laguarda", "0", "-", "-",
"17",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Antonio Martínez", "0", "-", "-",
"18",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Carlos Ortega", "0", "-", "-",
"19",   "", "GTS92", "chawaii_subaru_wrx_sti_gr3", "Juan José Ruiz García (Mecajota)", "0", "-", "-",
"20",   "", "BMT Racing", "chawaii_subaru_wrx_sti_gr3", "Montoro", "0", "-", "-",
"21",   "", "RM Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Izaguirre", "0", "-", "-",
"22",   "", "ForoAssetto", "chawaii_subaru_wrx_sti_gr3", "Antonio Gomez", "0", "-", "-",
"23",   "", "", "chawaii_subaru_wrx_sti_gr3", "LOA TV", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jose Miguel Romay"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "03:02.7600", "98.0020", "58.3650", "26.3930",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.4490", "42.7990", "48.7120", "25.9380",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.3310", "42.5010", "48.8420", "25.9880",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.7710", "43.0250", "48.6010", "26.1450",  "F:M - R:M",     "0 ",  
Average,,,"02:13.8278", "56.5818", "51.1300", "26.1160"
Best possible,,, "01:57.0400", "42.5010", "48.6010", "25.9380"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bertillo30"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:11.9000", "55.6530", "49.1040", "27.1430",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.9470", "43.6480", "48.9240", "26.3750",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.7830", "42.9750", "48.4460", "26.3620",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.5170", "42.9790", "48.3890", "26.1490",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.3880", "42.7920", "48.4380", "26.1580",  "F:M - R:M",     "0 ",  
Average,,,"02:00.7070", "45.6094", "48.6602", "26.4374"
Best possible,,, "01:57.3300", "42.7920", "48.3890", "26.1490"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Kappy Astur"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:22.5210", "59.0460", "54.6160", "28.8590",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:58.6780", "43.2490", "49.1220", "26.3070",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.7210", "42.8140", "48.6810", "26.2260",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.8610", "42.7730", "48.8530", "26.2350",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:57.6300", "42.6140", "48.6320", "26.3840",  "F:M - R:M",     "0 ",  
Average,,,"02:02.8822", "46.0992", "49.9808", "26.8022"
Best possible,,, "01:57.4720", "42.6140", "48.6320", "26.2260"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jucarcaz"
