Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "5", "02:01.0910", "-",
"2",   "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "5", "02:01.1390", "00:00.0480",
"3",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Carlos Ortega", "5", "02:01.1620", "00:00.0710",
"4",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "5", "02:01.7600", "00:00.6690",
"5",   "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "5", "02:01.8740", "00:00.7830",
"6",   "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "5", "02:02.0100", "00:00.9190",
"7",   "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "4", "02:02.4430", "00:01.3520",
"8",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "5", "02:03.8430", "00:02.7520",
"9",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "5", "02:04.8640", "00:03.7730",
"10",   "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "5", "02:06.0580", "00:04.9670",
"11",   "", "GTS92", "chawaii_subaru_wrx_sti_gr3", "Juan José Ruiz García (Mecajota)", "0", "-", "-",
"12",   "", "BMT Racing", "chawaii_subaru_wrx_sti_gr3", "Montoro", "0", "-", "-",
"13",   "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "0", "-", "-",
"14",   "", "RM Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Izaguirre", "0", "-", "-",
"15",   "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "0", "-", "-",
"16",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Antonio Martínez", "0", "-", "-",
"17",   "", "LDRT", "chawaii_subaru_wrx_sti_gr3", "Sergio Diaz", "0", "-", "-",
"18",   "", "AuTornay Racing Team", "chawaii_subaru_wrx_sti_gr3", "Kyogren2911", "0", "-", "-",
"19",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Manolo Laguarda", "0", "-", "-",
"20",   "", "ForoAssetto", "chawaii_subaru_wrx_sti_gr3", "Antonio Gomez", "0", "-", "-",
"21",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "0", "-", "-",
"22",   "", "los difentes racing tream", "chawaii_subaru_wrx_sti_gr3", "enzo diaz cancho", "0", "-", "-",
"23",   "", "", "chawaii_subaru_wrx_sti_gr3", "LOA TV", "0", "-", "-",

Qualify laps
'======================
Best possible,,, "02:00.9800", "31.6140", "47.8900", "41.4760"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Rafa Alvarez"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:12.8740", "38.9180", "49.7750", "44.1810",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:11.3150", "31.9830", "48.3210", "51.0110",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:09.3690", "32.9150", "50.1440", "46.3100",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.7600", "31.7560", "48.0420", "41.9620",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:03.1450", "31.5650", "48.9240", "42.6560",  "F:S - R:S",     "0 ",  
Average,,,"02:07.6926", "33.4274", "49.0412", "45.2240"
Best possible,,, "02:01.5690", "31.5650", "48.0420", "41.9620"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bertillo30"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:13.3580", "39.9520", "49.1090", "44.2970",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.1100", "31.8220", "48.3530", "41.9350",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:05.2850", "31.5550", "51.3770", "42.3530",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.1820", "31.7460", "48.5950", "41.8410",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.8740", "31.5780", "48.2940", "42.0020",  "F:M - R:M",     "0 ",  
Average,,,"02:04.9618", "33.3306", "49.1456", "42.4856"
Best possible,,, "02:01.6900", "31.5550", "48.2940", "41.8410"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Luciano DR."
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:10.1700", "39.1710", "48.8200", "42.1790",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.9800", "31.7870", "48.7900", "42.4030",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.0100", "31.5780", "48.4020", "42.0300",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.3810", "31.4910", "48.8870", "42.0030",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.3840", "31.7640", "48.3740", "42.2460",  "F:S - R:S",     "0 ",  
Average,,,"02:03.9850", "33.1582", "48.6546", "42.1722"
Best possible,,, "02:01.8680", "31.4910", "48.3740", "42.0030"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Jucarcaz"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:21.8220", "49.3100", "49.8240", "42.6880",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.5070", "32.0440", "48.0640", "42.3990",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.5010", "31.7500", "48.6000", "42.1510",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.4430", "32.0150", "48.3580", "42.0700",  "F:M - R:M",     "0 ",  
Average,,,"02:07.3183", "36.2798", "48.7115", "42.3270"
Best possible,,, "02:01.8840", "31.7500", "48.0640", "42.0700"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Akira"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:26.6370", "51.9560", "51.1840", "43.4970",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:04.6990", "32.6290", "49.2120", "42.8580",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:04.8270", "32.3330", "49.0960", "43.3980",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:05.5220", "32.1250", "50.9400", "42.4570",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:03.8430", "32.2040", "48.8890", "42.7500",  "F:S - R:S",     "0 ",  
Average,,,"02:09.1056", "36.2494", "49.8642", "42.9920"
Best possible,,, "02:03.4710", "32.1250", "48.8890", "42.4570"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josu Puelles"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:26.1920", "37.5720", "50.0260", "58.5940",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:05.3950", "32.8800", "49.5440", "42.9710",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:04.9120", "32.1220", "50.1480", "42.6420",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:04.6820", "32.3510", "49.5050", "42.8260",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:04.8640", "32.3760", "49.4820", "43.0060",  "F:M - R:M",     "0 ",  
Average,,,"02:09.2090", "33.4602", "49.7410", "46.0078"
Best possible,,, "02:04.2460", "32.1220", "49.4820", "42.6420"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ramiro"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "03:03.1990", "88.8660", "51.0560", "43.2770",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:07.6080", "32.8370", "50.5670", "44.2040",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:06.6210", "33.2500", "50.3640", "43.0070",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:06.0580", "32.9210", "50.0130", "43.1240",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:22.5340", "32.7110", "52.2680", "57.5550",  "F:S - R:S",     "0 ",  
Average,,,"02:21.2040", "44.1170", "50.8536", "46.2334"
Best possible,,, "02:05.7310", "32.7110", "50.0130", "43.0070"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
