Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"bertillo30"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:49.0100", "38.4230", "34.8040", "35.7830",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.1940", "27.2010", "33.2810", "35.7120",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.4380", "27.4160", "33.2960", "35.7260",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.9290", "27.3860", "33.2690", "36.2740",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.1220", "27.2860", "33.1060", "35.7300",  "F:S - R:S",     "0 ",  
"6 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:35.8710", "27.0920", "33.0300", "35.7490",  "F:S - R:S",     "0 ",  
Average,,,"01:38.4273", "29.1340", "33.4643", "35.8290"
Best possible,,, "01:35.8340", "27.0920", "33.0300", "35.7120"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Carlos Ortega"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:08.1620", "54.2500", "35.7530", "38.1590",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:38.2960", "27.0920", "33.7600", "37.4440",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.0890", "27.3210", "33.5240", "36.2440",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:35.9850", "27.2380", "32.9720", "35.7750",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.4250", "27.1660", "33.2770", "35.9820",  "F:S - R:S",     "0 ",  
Average,,,"01:43.1914", "32.6134", "33.8572", "36.7208"
Best possible,,, "01:35.8390", "27.0920", "32.9720", "35.7750"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ruben Marquez"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:11.9670", "56.3530", "35.5550", "40.0590",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.1060", "27.3370", "33.1240", "35.6450",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.6480", "27.3070", "33.4260", "35.9150",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.7860", "27.5760", "33.2010", "36.0090",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.2630", "27.8280", "33.2950", "36.1400",  "F:S - R:S",     "0 ",  
Average,,,"01:43.7540", "33.2802", "33.7202", "36.7536"
Best possible,,, "01:36.0760", "27.3070", "33.1240", "35.6450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Rafa Alvarez"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:55.4290", "43.1590", "34.3080", "37.9620",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.3060", "27.2670", "33.2770", "35.7620",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.7850", "27.6160", "33.2510", "35.9180",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.2440", "27.4750", "32.8450", "35.9240",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.2250", "27.5590", "32.9180", "35.7480",  "F:S - R:S",     "0 ",  
Average,,,"01:40.1978", "30.6152", "33.3198", "36.2628"
Best possible,,, "01:35.8600", "27.2670", "32.8450", "35.7480"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Gino Ivan Muchiut"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:50.6850", "40.8630", "33.7590", "36.0630",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.3810", "27.3500", "33.2190", "35.8120",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.9910", "27.5390", "34.1600", "36.2920",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.9600", "27.3080", "33.3090", "36.3430",  "F:S - R:S",     "0 ",  
Average,,,"01:40.5043", "30.7650", "33.6118", "36.1275"
Best possible,,, "01:36.3390", "27.3080", "33.2190", "35.8120"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Luciano DR."
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:40.9010", "31.5300", "33.3310", "36.0400",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.3920", "27.3040", "33.3040", "35.7840",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.6930", "27.7230", "33.6690", "36.3010",  "F:S - R:S",     "1  (0s e.t. <>  0s gain) ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.0340", "27.4020", "33.4350", "36.1970",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:36.6080", "27.2910", "33.2360", "36.0810",  "F:S - R:S",     "0 ",  
"6 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:37.2740", "27.4440", "33.7810", "36.0490",  "F:S - R:S",     "0 ",  
Average,,,"01:37.6503", "28.1157", "33.4593", "36.0753"
Best possible,,, "01:36.3110", "27.2910", "33.2360", "35.7840"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ramiro"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.5590", "49.1410", "35.0730", "37.3450",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:38.3770", "28.2000", "34.0820", "36.0950",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:38.5460", "28.0680", "34.1990", "36.2790",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:38.3640", "27.7770", "34.3350", "36.2520",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "01:38.2840", "27.8090", "33.9750", "36.5000",  "F:S - R:S",     "0 ",  
Average,,,"01:43.0260", "32.1990", "34.3328", "36.4942"
Best possible,,, "01:37.8470", "27.7770", "33.9750", "36.0950"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Josu Puelles"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Kyogren2911"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"ivan"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan José Ruiz García (Mecajota)"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Martínez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Manolo Laguarda"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ezequiel Cherminando"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Antonio Gomez"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Akira"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Montoro"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"enzo diaz cancho"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"PANGOLIN DORMIDO"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Izaguirre"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Sergio Diaz"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Agustín Eschoyez Campo"
No laps for this driver

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"LOA TV"
No laps for this driver


Qualify best laps
'======================
'------------------------
Overall top (20)
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:35.2390", ""
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:35.4670", "0.228"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:35.5140", "0.275"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:35.8170", "0.578"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:35.8620", "0.623"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:35.8660", "0.627"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:35.8710", "0.632"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:35.9690", "0.73"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "01:35.9850", "0.746"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:36.0440", "0.805"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:36.0850", "0.846"
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "01:36.1060", "0.867"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:36.1220", "0.883"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:36.1940", "0.955"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:36.2080", "0.969"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:36.2250", "0.986"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:36.2440", "1.005"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:36.2630", "1.024"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:36.3060", "1.067"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "01:36.3810", "1.142"


'------------------------
Per driver
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "01:35.2390", ""
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "01:35.8170", "0.578"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "01:35.8620", "0.623"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "01:35.8710", "0.632"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "01:35.9850", "0.746"
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "01:36.1060", "0.867"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "01:36.2250", "0.986"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "01:36.3810", "1.142"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "01:36.3920", "1.153"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "01:38.2840", "3.045"


Qualify consistency
'======================
Driver, Vehicle, Consistency,
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "99.85%  0.145",
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "99.77%  0.22",
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "99.70%  0.288",
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "99.60%  0.3767",
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "99.43%  0.5498",
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "99.40%  0.58",
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "99.17%  0.793",
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "98.86%  1.0945",
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "98.81%  1.1375",
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "98.66%  1.285",
"Josu Puelles", "chawaii_subaru_wrx_sti_gr3", "-",
"Kyogren2911", "chawaii_subaru_wrx_sti_gr3", "-",
"ivan", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan José Ruiz García (Mecajota)", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Martínez", "chawaii_subaru_wrx_sti_gr3", "-",
"Manolo Laguarda", "chawaii_subaru_wrx_sti_gr3", "-",
"Ezequiel Cherminando", "chawaii_subaru_wrx_sti_gr3", "-",
"Antonio Gomez", "chawaii_subaru_wrx_sti_gr3", "-",
"Akira", "chawaii_subaru_wrx_sti_gr3", "-",
"Montoro", "chawaii_subaru_wrx_sti_gr3", "-",
"enzo diaz cancho", "chawaii_subaru_wrx_sti_gr3", "-",
"PANGOLIN DORMIDO", "chawaii_subaru_wrx_sti_gr3", "-",
"Juan Izaguirre", "chawaii_subaru_wrx_sti_gr3", "-",
"Sergio Diaz", "chawaii_subaru_wrx_sti_gr3", "-",
"Agustín Eschoyez Campo", "chawaii_subaru_wrx_sti_gr3", "-",
"LOA TV", "chawaii_subaru_wrx_sti_gr3", "-",




Qualify sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "26.9060", "-"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "27.0920", "0.1860"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "27.0920", "0.1860"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "27.1280", "0.2220"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "27.1560", "0.2500"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "27.2670", "0.3610"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "27.2910", "0.3850"
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "27.3070", "0.4010"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "27.3080", "0.4020"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "27.7770", "0.8710"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "32.8450", "-"
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "32.8680", "0.0230"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "32.9130", "0.0680"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "32.9720", "0.1270"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "33.0300", "0.1850"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "33.0480", "0.2030"
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "33.1240", "0.2790"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "33.2190", "0.3740"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "33.2360", "0.3910"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "33.9750", "1.1300"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"Jose Miguel Romay", "chawaii_subaru_wrx_sti_gr3", "35.3880", "-"
"Jucarcaz", "chawaii_subaru_wrx_sti_gr3", "35.5360", "0.1480"
"Ruben Marquez", "chawaii_subaru_wrx_sti_gr3", "35.6450", "0.2570"
"bertillo30", "chawaii_subaru_wrx_sti_gr3", "35.7120", "0.3240"
"Rafa Alvarez", "chawaii_subaru_wrx_sti_gr3", "35.7480", "0.3600"
"Kappy Astur", "chawaii_subaru_wrx_sti_gr3", "35.7520", "0.3640"
"Juan Carlos Ortega", "chawaii_subaru_wrx_sti_gr3", "35.7750", "0.3870"
"Luciano DR.", "chawaii_subaru_wrx_sti_gr3", "35.7840", "0.3960"
"Gino Ivan Muchiut", "chawaii_subaru_wrx_sti_gr3", "35.8120", "0.4240"
"Ramiro", "chawaii_subaru_wrx_sti_gr3", "36.0950", "0.7070"



Qualify cuts
'======================
Date, Lap e.t., Lap, Driver, Cut Time, Time skipped
"", "00:00", "1", "Jose Miguel Romay", "", ""
"", "00:00", "1", "Jose Miguel Romay", "", ""
"", "00:00", "3", "Luciano DR.", "", ""






'+++++++++++++++++++++
Race
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Race"
Track:, "fuji_speedway_mts, layout_wec_2024"
Winner, "bertillo30"
Led most laps, "Kappy Astur"
Best lap, "Juan Carlos Ortega (01:35.8970)"
Lasted laps, "25"
Host, "Unknown"


Race result
'======================
Pos,    Class, Team, Vehicle, Driver, Laps, Time/Retired, Best lap, Consistency, Led, Pits,
"1",  "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "25", "    40:30.5760", "01:36.3570", "99.32%", "2", "0", 
"2",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "25", "  '+00:00.6820", "01:36.0240", "99.17%", "0", "0", 
"3",  "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "25", "  '+00:00.7880", "01:36.6250", "99.47%", "23", "0", 
"4",  "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "25", "  '+00:21.1370", "01:36.9540", "99.11%", "0", "0", 
"5",  "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "25", "  '+00:48.2000", "01:36.8120", "98.46%", "0", "0", 
"6",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "25", "  '+00:48.8990", "01:36.9420", "97.82%", "0", "0", 
"7",  "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "25", "  '+00:54.9410", "01:37.4430", "99.02%", "0", "0", 
"8",  "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "25", "  '+01:03.0150", "01:37.4450", "97.81%", "0", "0", 
"9",  "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "25", "  '+01:07.7680", "01:38.5480", "98.81%", "0", "0", 
"10",  "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ruben Marquez", "24", "  '+00:33.5450", "01:36.9020", "98.44%", "0", "0", 
"11",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Carlos Ortega", "17", "  '+13:30.0790", "01:35.8970", "96.35%", "0", "0", 
"12",  "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "0", " DNF", "-", "-", "0", "0", 
"13",  "", "AuTornay Racing Team", "chawaii_subaru_wrx_sti_gr3", "Kyogren2911", "0", " DNF", "-", "-", "0", "0", 
"14",  "", "berberecho racing", "chawaii_subaru_wrx_sti_gr3", "ivan", "0", " DNF", "-", "-", "0", "0", 
"15",  "", "GTS92", "chawaii_subaru_wrx_sti_gr3", "Juan José Ruiz García (Mecajota)", "0", " DNF", "-", "-", "0", "0", 
"16",  "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Antonio Martínez", "0", " DNF", "-", "-", "0", "0", 
"17",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Manolo Laguarda", "0", " DNF", "-", "-", "0", "0", 
"18",  "", "ForoAssetto", "chawaii_subaru_wrx_sti_gr3", "Antonio Gomez", "0", " DNF", "-", "-", "0", "0", 
"19",  "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "0", " DNF", "-", "-", "0", "0", 
"20",  "", "BMT Racing", "chawaii_subaru_wrx_sti_gr3", "Montoro", "0", " DNF", "-", "-", "0", "0", 
"21",  "", "los difentes racing tream", "chawaii_subaru_wrx_sti_gr3", "enzo diaz cancho", "0", " DNF", "-", "-", "0", "0", 
"22",  "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "0", " DNF", "-", "-", "0", "0", 
